Word,negative,positive,neutral,norm_valence
lamellas,0.1,0.53852,"[0, 0, 0, 0, 0, 1, 0, 1, 0, -1]",0.5125
joyrides,0.8,1.32665,"[2, -2, 1, 2, 0, 2, -1, 1, 2, 1]",0.6
annoyed,-1.6,1.11355,"[-3, -1, 1, -3, -1, -1, -2, -2, -2, -2]",0.3
lame,-1.8,0.74833,"[-1, -3, -1, -2, -2, -1, -2, -3, -1, -2]",0.275
definite,1.1,0.7,"[2, 1, 0, 1, 0, 1, 1, 2, 2, 1]",0.6375
ugliness,-2.7,0.9,"[-4, -2, -3, -2, -4, -2, -4, -2, -2, -2]",0.16249999999999998
shames,-1.7,0.9,"[-3, -3, -3, -1, -1, -1, -1, -1, -1, -2]",0.2875
lousiest,-2.6,0.8,"[-4, -2, -3, -3, -1, -2, -3, -3, -2, -3]",0.175
suck,-1.9,1.04403,"[-1, -1, -1, -2, -1, -1, -3, -4, -3, -2]",0.2625
grieving,-2.3,1.1,"[-2, -4, -2, -3, -3, 0, -3, -2, -1, -3]",0.21250000000000002
steal,-2.2,0.6,"[-2, -2, -2, -3, -3, -3, -1, -2, -2, -2]",0.22499999999999998
confusion,-1.2,0.6,"[-1, -1, -1, -1, -1, -2, 0, -1, -2, -2]",0.35
resolver,0.7,0.78102,"[1, 2, 0, 1, 1, 0, 2, 0, 0, 0]",0.5875
usefulness,1.2,1.32665,"[3, 1, 3, -1, 2, 2, 1, 1, -1, 1]",0.65
}:-),0.3,1.61555,"[1, 1, -2, 1, -1, -3, 2, 2, 1, 1]",0.5375
paradox,-0.4,0.66332,"[-1, -1, 0, 0, -1, 0, -1, 0, 1, -1]",0.45
blind,-1.7,1.00499,"[-4, -1, -1, -2, -1, -1, -3, -2, -1, -1]",0.2875
uncertainly,-1.4,0.4899,"[-2, -1, -1, -1, -2, -1, -1, -2, -2, -1]",0.325
funky,-0.4,1.62481,"[0, -1, 2, -1, 2, 0, -4, -1, 0, -1]",0.45
harassers,-2.8,0.6,"[-3, -3, -2, -2, -3, -3, -3, -4, -2, -3]",0.15000000000000002
kisser,1.7,1.34536,"[2, 4, 1, 2, -1, 2, 3, 0, 2, 2]",0.7125
feudalities,-0.4,1.0198,"[-1, 0, -1, -2, -1, 0, -1, 0, 0, 2]",0.45
partyers,1.1,0.83066,"[1, 2, 0, 3, 1, 1, 1, 0, 1, 1]",0.6375
antagonized,-1.4,0.66332,"[-2, -1, -2, -2, -1, 0, -2, -1, -1, -2]",0.325
lowdowns,-0.2,0.4,"[0, 0, 0, -1, 0, 0, 0, 0, -1, 0]",0.475
strangled,-2.5,1.0247,"[-1, -1, -3, -3, -3, -3, -1, -4, -3, -3]",0.1875
enthusiastic,2.2,0.9798,"[1, 2, 3, 4, 2, 3, 2, 1, 1, 3]",0.775
motivating,2.2,0.6,"[2, 2, 3, 3, 3, 2, 2, 2, 1, 2]",0.775
merrymaker,2.2,1.4,"[3, 1, 3, 3, 3, -1, 2, 1, 3, 4]",0.775
sympathy,1.5,1.11803,"[-1, 2, 3, 2, 1, 1, 1, 2, 1, 3]",0.6875
horrid,-2.5,1.0247,"[-2, -3, -3, -4, -4, -1, -2, -2, -3, -1]",0.1875
furiously,-1.9,1.04403,"[-2, -2, -4, -2, -1, -2, -1, -3, 0, -2]",0.2625
praises,2.4,0.4899,"[3, 2, 2, 3, 2, 3, 2, 3, 2, 2]",0.8
hostiles,-1.3,1.9,"[-3, -3, -3, -3, -1, 2, -3, -1, 1, 1]",0.3375
disagrees,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -1, -2, -1, -2]",0.3375
apologized,1.3,0.64031,"[1, 1, 1, 2, 0, 2, 1, 2, 2, 1]",0.6625
repressor,-1.4,1.28062,"[-1, 0, -3, -1, -2, -4, 0, -1, 0, -2]",0.325
sux,-1.5,0.92195,"[-1, -1, -2, -1, -2, -1, -3, 0, -3, -1]",0.3125
pains,-1.8,0.6,"[-2, -2, -1, -1, -1, -2, -2, -2, -3, -2]",0.275
devotements,1.1,1.04403,"[0, 1, 0, 0, 0, 2, 2, 2, 3, 1]",0.6375
wonderful,2.7,0.78102,"[2, 3, 3, 2, 4, 2, 2, 3, 4, 2]",0.8375
helplessly,-1.4,0.4899,"[-1, -1, -2, -2, -1, -1, -1, -2, -2, -1]",0.325
improve,1.9,0.7,"[2, 3, 3, 2, 1, 1, 2, 2, 1, 2]",0.7375
champaks,-0.2,0.6,"[0, 0, 0, 0, 0, 0, -2, 0, 0, 0]",0.475
pettiest,-1.3,1.95192,"[1, -3, -3, -3, -2, -1, 2, -1, 1, -4]",0.3375
irritant,-2.3,0.78102,"[-3, -3, -3, -3, -3, -1, -2, -2, -2, -1]",0.21250000000000002
horrors,-2.7,0.64031,"[-3, -3, -4, -3, -2, -2, -2, -3, -2, -3]",0.16249999999999998
excel,2.0,1.0,"[3, 0, 2, 3, 1, 1, 3, 3, 2, 2]",0.75
shakier,-0.9,0.3,"[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",0.3875
energizing,2.0,0.63246,"[3, 3, 2, 1, 2, 2, 1, 2, 2, 2]",0.75
joyance,2.3,0.9,"[1, 3, 4, 2, 2, 1, 2, 3, 2, 3]",0.7875
idealists,0.7,1.1,"[0, -2, 1, 2, 1, 1, 2, 0, 1, 1]",0.5875
admiration,2.5,0.80623,"[3, 1, 1, 3, 3, 2, 3, 3, 3, 3]",0.8125
obsess,-1.0,0.89443,"[-2, 0, -2, -1, 1, -1, -2, -1, -1, -1]",0.375
doomy,-1.1,1.37477,"[2, -2, -1, -2, -2, -2, -2, 1, -1, -2]",0.3625
geekiest,-0.1,0.9434,"[1, -1, -1, -1, -1, 1, 1, 1, 0, -1]",0.4875
trivializing,-0.6,1.95959,"[-1, -1, -2, -1, -1, 2, -2, -4, 1, 3]",0.425
freedwomen,1.3,0.78102,"[2, 0, 2, 0, 2, 1, 1, 1, 2, 2]",0.6625
supremacist,0.5,2.15639,"[3, 2, -3, 1, 2, 2, 2, -2, 1, -3]",0.5625
gn8,0.6,0.66332,"[1, 1, 0, 0, 0, 0, 2, 1, 0, 1]",0.575
hurrahing,2.4,0.4899,"[3, 2, 2, 2, 3, 2, 3, 3, 2, 2]",0.8
awesome,3.1,0.83066,"[3, 4, 2, 3, 2, 2, 4, 4, 4, 3]",0.8875
ease,1.5,0.92195,"[1, 1, 1, 0, 2, 1, 2, 3, 3, 1]",0.6875
flunkies,-1.4,1.11355,"[-2, -2, 0, -3, 1, -2, -1, -2, -1, -2]",0.325
stunk,-1.6,1.68523,"[-2, -2, -3, 2, -2, -3, -3, 1, -1, -3]",0.3
heroical,2.9,1.04403,"[4, 4, 2, 4, 2, 3, 1, 4, 2, 3]",0.8625
lawl,1.4,1.42829,"[0, 2, 2, 1, 3, -2, 3, 1, 2, 2]",0.675
curious,1.3,0.78102,"[0, 1, 0, 2, 2, 2, 1, 1, 2, 2]",0.6625
lowly,-1.0,1.34164,"[-1, -2, -1, -2, 2, -2, -1, 1, -2, -2]",0.375
lamedh,0.1,0.53852,"[0, 0, 0, 0, 0, 1, 1, -1, 0, 0]",0.5125
gossip,-0.7,0.45826,"[-1, -1, -1, 0, 0, -1, -1, 0, -1, -1]",0.4125
perversely,-2.2,0.87178,"[-1, -2, -2, -2, -1, -3, -2, -3, -4, -2]",0.22499999999999998
startles,-0.5,1.36015,"[-2, 2, -1, 0, 2, -1, -1, -2, -1, -1]",0.4375
betray,-3.2,0.6,"[-3, -4, -4, -3, -2, -3, -4, -3, -3, -3]",0.09999999999999998
supports,1.5,0.67082,"[2, 1, 2, 0, 2, 2, 2, 1, 1, 2]",0.6875
irritate,-1.8,0.6,"[-3, -2, -2, -2, -1, -2, -1, -2, -1, -2]",0.275
ludicrousness,-1.9,1.57797,"[-1, 2, -2, -3, -2, -2, -3, -4, -1, -3]",0.2625
insultingly,-2.3,0.78102,"[-3, -3, -1, -2, -2, -3, -2, -1, -3, -3]",0.21250000000000002
hateful,-2.2,1.249,"[-3, 1, -3, -3, -1, -2, -2, -3, -3, -3]",0.22499999999999998
shame,-2.1,0.53852,"[-2, -2, -2, -3, -3, -1, -2, -2, -2, -2]",0.2375
defenseman,0.1,1.13578,"[2, 0, 0, 0, 0, 0, -1, 0, 2, -2]",0.5125
evil,-3.4,0.91652,"[-4, -4, -4, -3, -3, -4, -1, -4, -3, -4]",0.07500000000000001
dynamited,-0.9,1.04403,"[0, 0, 0, -1, -1, 0, -2, 0, -2, -3]",0.3875
ridiculers,-1.6,0.66332,"[-2, -1, -1, -2, -3, -2, -1, -2, -1, -1]",0.3
champaign,0.2,0.6,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0.525
fascist,-2.6,0.8,"[-3, -3, -2, -2, -2, -3, -1, -3, -4, -3]",0.175
dynamiting,0.2,1.32665,"[-2, 0, 0, 2, -1, -1, 0, 2, 2, 0]",0.525
haplessness,-1.4,1.0198,"[-1, -2, 0, -1, -1, -1, -1, -2, -1, -4]",0.325
whine,-1.5,1.11803,"[-1, -4, -1, -1, -1, -3, 0, -2, -1, -1]",0.3125
prizewinner,2.3,1.00499,"[3, 0, 3, 3, 2, 2, 2, 4, 2, 2]",0.7875
appalls,-1.9,1.37477,"[0, -3, -2, -3, -3, -2, -1, -3, 1, -3]",0.2625
convincingness,0.7,1.34536,"[0, 0, 0, 1, -2, 2, 0, 3, 1, 2]",0.5875
survivor,1.5,1.0247,"[1, 3, 2, 3, 1, 0, 0, 1, 2, 2]",0.6875
guiltiest,-1.7,1.79165,"[-3, -2, -2, -4, -1, -2, 3, -1, -3, -2]",0.2875
havoc,-2.9,0.7,"[-2, -4, -4, -3, -2, -3, -3, -3, -2, -3]",0.1375
idealized,1.8,0.74833,"[2, 3, 1, 1, 2, 1, 3, 1, 2, 2]",0.725
okay,0.9,0.53852,"[1, 1, 0, 0, 1, 1, 1, 2, 1, 1]",0.6125
joypoppers,-0.1,1.22066,"[2, -1, 1, -1, -1, 1, 1, 0, -2, -1]",0.4875
woebegone,-2.6,0.66332,"[-3, -2, -3, -2, -2, -4, -3, -2, -2, -3]",0.175
doubtfulness,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -1, -1, -1, -2]",0.35
belittle,-1.9,0.53852,"[-2, -2, -2, -1, -2, -2, -1, -2, -3, -2]",0.2625
failingly,-1.4,0.8,"[-1, -3, -2, -1, 0, -1, -2, -1, -2, -1]",0.325
masochisms,-1.1,1.57797,"[3, -3, -2, -2, -1, -1, -2, -1, 0, -2]",0.3625
disbelieve,-1.2,0.87178,"[-1, -2, -1, -2, -1, 0, 0, -1, -3, -1]",0.35
challenges,0.3,1.48661,"[0, -1, 2, -1, -2, 0, 3, 0, 2, 0]",0.5375
screams,-1.2,0.9798,"[-1, -2, -2, -1, -1, -2, 1, -2, 0, -2]",0.35
wisdom,2.4,0.66332,"[2, 3, 4, 2, 3, 2, 2, 2, 2, 2]",0.8
faultiest,-2.1,0.53852,"[-3, -1, -2, -2, -2, -2, -2, -2, -3, -2]",0.2375
faultfinding,-2.1,0.83066,"[-3, -2, -1, -2, -1, -3, -1, -3, -2, -3]",0.2375
punished,-2.0,0.44721,"[-2, -2, -1, -2, -2, -2, -2, -2, -3, -2]",0.25
scrumptious,2.1,1.22066,"[3, 3, 0, 3, 2, 3, 1, 3, 0, 3]",0.7625
unconvinced,-1.6,0.8,"[-2, -3, -1, -2, -1, 0, -2, -2, -1, -2]",0.3
conspiracy,-2.4,0.66332,"[-2, -2, -3, -3, -2, -2, -4, -2, -2, -2]",0.2
despise,-1.4,1.35647,"[-2, -3, -1, -2, -1, 1, -3, 1, -2, -2]",0.325
laugh,2.6,0.66332,"[3, 2, 3, 1, 3, 3, 3, 3, 2, 3]",0.825
scary,-2.2,0.87178,"[-2, -1, -4, -3, -3, -2, -2, -2, -2, -1]",0.22499999999999998
uglifies,-1.8,0.74833,"[-1, -1, -3, -2, -3, -1, -2, -2, -2, -1]",0.275
ludicrously,-0.2,1.83303,"[3, -1, 0, -2, -1, 0, 3, -3, -1, 0]",0.475
popularises,0.5,0.67082,"[1, 0, 0, 0, 0, 1, 1, 2, 0, 0]",0.5625
skeptical,-1.3,0.9,"[0, -3, -2, -2, -1, -2, 0, -1, -1, -1]",0.3375
sulking,-1.5,0.67082,"[-2, -1, -3, -1, -1, -2, -1, -2, -1, -1]",0.3125
pleasant,2.3,0.64031,"[2, 3, 3, 3, 2, 1, 2, 2, 3, 2]",0.7875
peacetime,2.2,1.16619,"[3, 1, 4, 2, 4, 3, 1, 1, 2, 1]",0.775
flexibility,1.4,0.8,"[2, 2, 0, 2, 1, 2, 1, 0, 2, 2]",0.675
threateningly,-2.2,0.6,"[-2, -2, -2, -2, -2, -2, -2, -2, -4, -2]",0.22499999999999998
kidding,0.4,0.8,"[0, 1, 0, -1, 1, 1, 1, 1, -1, 1]",0.55
timidity,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -2, -2, -1, -1]",0.3375
tolerant,1.1,0.53852,"[1, 2, 1, 1, 1, 1, 1, 1, 0, 2]",0.6375
wisely,1.8,0.6,"[1, 2, 3, 2, 1, 2, 2, 1, 2, 2]",0.725
idealistically,1.7,1.1,"[0, 3, 3, 1, 2, 3, 0, 2, 1, 2]",0.7125
romantic,1.7,0.78102,"[2, 2, 2, 1, 2, 3, 2, 2, 0, 1]",0.7125
overstatement,-1.1,0.7,"[-2, 0, -1, -2, -1, 0, -1, -1, -2, -1]",0.3625
vitalities,1.2,0.87178,"[2, 1, 3, 1, 1, 0, 2, 1, 0, 1]",0.65
lackadaisical,-1.6,0.66332,"[-1, -1, -2, -1, -2, -2, -3, -1, -2, -1]",0.3
tolerance,1.2,1.53623,"[2, 3, 2, 2, -2, 1, 1, 3, -1, 1]",0.65
rewarded,2.2,0.74833,"[1, 2, 3, 2, 2, 4, 2, 2, 2, 2]",0.775
pissing,-1.7,1.26886,"[0, 0, -2, -2, -3, 0, -3, -1, -3, -3]",0.2875
warmongering,-2.5,0.67082,"[-2, -3, -3, -1, -2, -3, -3, -2, -3, -3]",0.1875
egotist,-2.3,0.9,"[-2, -1, -2, -3, -4, -2, -3, -3, -1, -2]",0.21250000000000002
disrespected,-2.0,0.63246,"[-2, -2, -2, -2, -2, -3, -3, -1, -1, -2]",0.25
infected,-2.2,0.6,"[-3, -2, -2, -2, -2, -2, -3, -1, -2, -3]",0.22499999999999998
neaten,1.2,0.4,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.65
foetal,-0.1,0.3,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",0.4875
regret,-1.8,0.6,"[-2, -2, -2, -2, -1, -3, -1, -1, -2, -2]",0.275
vigorously,0.5,0.92195,"[0, 0, 0, 1, 2, 0, 2, -1, 1, 0]",0.5625
devastating,-3.3,0.9,"[-4, -3, -4, -4, -1, -4, -3, -3, -3, -4]",0.08750000000000002
disguising,-1.3,0.78102,"[0, -2, -1, -1, -1, -2, -1, -1, -3, -1]",0.3375
triumphalists,0.9,1.64012,"[1, -1, 0, 0, 1, 3, -2, 3, 1, 3]",0.6125
nasties,-2.1,0.3,"[-2, -2, -2, -2, -3, -2, -2, -2, -2, -2]",0.2375
freakish,-2.1,1.37477,"[-1, -3, -2, -1, -2, -3, -4, -3, 1, -3]",0.2375
praise,2.6,0.8,"[2, 4, 3, 3, 2, 1, 3, 3, 2, 3]",0.825
awarder,0.9,1.04403,"[2, 0, 1, 3, 0, 2, 1, 0, 0, 0]",0.6125
strongman,0.7,1.00499,"[0, 1, 3, 0, 1, -1, 1, 1, 0, 1]",0.5875
graceful,2.0,0.63246,"[2, 1, 2, 2, 2, 3, 3, 2, 2, 1]",0.75
collisions,-1.1,0.7,"[0, -2, -1, 0, -1, -1, -2, -2, -1, -1]",0.3625
mooched,-1.4,0.4899,"[-2, -1, -2, -1, -1, -2, -1, -1, -2, -1]",0.325
flirtation,1.7,0.64031,"[3, 1, 1, 2, 2, 1, 2, 1, 2, 2]",0.7125
shared,1.4,0.4899,"[2, 2, 2, 1, 2, 1, 1, 1, 1, 1]",0.675
faggot,-3.4,0.8,"[-2, -4, -4, -3, -2, -4, -4, -4, -3, -4]",0.07500000000000001
foolhardiness,-1.6,0.66332,"[-3, -1, -1, -1, -2, -1, -2, -2, -2, -1]",0.3
defensible,0.8,0.87178,"[0, 2, 0, 0, 1, 0, 2, 0, 2, 1]",0.6
happy,2.7,0.9,"[2, 2, 2, 4, 2, 4, 3, 4, 2, 2]",0.8375
abused,-2.3,0.64031,"[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]",0.21250000000000002
favouring,1.3,0.45826,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 2]",0.6625
consents,1.0,0.63246,"[0, 2, 1, 0, 1, 1, 1, 2, 1, 1]",0.625
vitalise,1.1,0.9434,"[1, 2, 0, 2, 2, 0, 2, 0, 2, 0]",0.6375
destroyer,-2.0,0.89443,"[-2, -3, -3, -3, -1, -2, -2, -2, 0, -2]",0.25
superiors,1.0,1.0,"[3, 0, 0, 1, 2, 1, 1, 2, 0, 0]",0.625
rig,-0.5,1.0247,"[0, 0, 0, 0, -2, 0, 0, 0, -3, 0]",0.4375
humorless,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -2, -1, -1, -2]",0.3375
assuror,0.5,0.67082,"[0, 1, 0, 1, 2, 0, 0, 1, 0, 0]",0.5625
cleaner,0.7,0.78102,"[1, 0, 1, 0, 0, 0, 2, 1, 2, 0]",0.5875
freelancing,0.4,0.66332,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0.55
loners,-0.9,0.53852,"[-1, -1, -2, -1, -1, -1, 0, 0, -1, -1]",0.3875
woot,1.8,1.07703,"[2, 0, 2, 2, 2, 2, 0, 4, 2, 2]",0.725
meditative,1.4,0.66332,"[2, 0, 1, 2, 2, 1, 2, 1, 2, 1]",0.675
contempts,-1.0,1.48324,"[-2, -2, -1, 0, 1, -1, -2, -3, 2, -2]",0.375
repressing,-1.8,0.6,"[-1, -2, -2, -2, -1, -3, -2, -1, -2, -2]",0.275
revengers,-2.0,0.44721,"[-2, -2, -3, -2, -2, -2, -1, -2, -2, -2]",0.25
merrythoughts,1.6,1.11355,"[1, 3, 2, 1, 2, 1, 0, 3, 3, 0]",0.7
flu,-1.6,0.8,"[0, -2, -1, -2, -1, -2, -3, -1, -2, -2]",0.3
warsaw,-0.1,0.3,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",0.4875
confuses,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -1, -1, -2, -2]",0.3375
immorally,-2.1,0.7,"[-1, -1, -2, -2, -3, -2, -3, -2, -2, -3]",0.2375
positivist,2.0,1.0,"[3, 1, 2, 2, 2, 0, 2, 4, 2, 2]",0.75
motherfucker,-3.6,0.66332,"[-3, -4, -4, -4, -4, -2, -4, -3, -4, -4]",0.04999999999999999
wisecracks,-0.3,1.55242,"[1, 2, -1, 2, -3, 0, 0, -2, -1, -1]",0.4625
profited,1.3,1.00499,"[2, 2, 2, 1, 0, 0, 1, 3, 0, 2]",0.6625
agitative,-1.3,1.26886,"[-2, -2, -1, -2, -1, -3, 1, -2, 1, -2]",0.3375
bereaves,-1.9,1.22066,"[0, -3, 0, -1, -3, -2, -3, -1, -3, -3]",0.2625
bittering,-1.2,0.87178,"[0, 0, -1, -2, 0, -2, -1, -2, -2, -2]",0.35
regretter,-1.6,0.66332,"[-2, -1, -2, -2, -3, -2, -1, -1, -1, -1]",0.3
harmlessness,0.8,1.16619,"[1, 2, 0, 1, 0, 1, 2, 1, 2, -2]",0.6
lamentable,-1.5,1.0247,"[-2, 0, -2, -1, 0, -2, -3, -1, -1, -3]",0.3125
funnier,1.7,1.00499,"[2, 2, -1, 2, 2, 2, 3, 1, 2, 2]",0.7125
spirited,1.3,1.00499,"[1, 1, 0, 1, 1, 3, 2, 3, 0, 1]",0.6625
stupidness,-1.7,0.64031,"[-3, -1, -2, -1, -2, -1, -2, -2, -1, -2]",0.2875
scold,-1.7,0.78102,"[-2, -1, -1, -1, -3, -3, -2, -2, -1, -1]",0.2875
anticipation,0.4,1.28062,"[1, 1, -1, 0, -1, 1, 1, 2, -2, 2]",0.55
evilest,-2.5,1.0247,"[-3, -4, -1, -3, -2, -3, -1, -4, -2, -2]",0.1875
perfectives,0.9,0.83066,"[0, 2, 1, 1, 1, 0, 2, 0, 2, 0]",0.6125
reinvigoration,2.2,0.4,"[2, 2, 2, 3, 2, 3, 2, 2, 2, 2]",0.775
freer,1.1,0.7,"[2, 2, 0, 2, 1, 1, 1, 0, 1, 1]",0.6375
chucklesome,1.1,0.53852,"[1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",0.6375
awaited,-0.1,0.83066,"[1, 0, 0, 0, 1, -1, 0, 0, -2, 0]",0.4875
fearlessly,1.1,1.22066,"[2, -2, 1, 1, 2, 1, 3, 1, 1, 1]",0.6375
fraudsters,-2.4,0.91652,"[-4, -3, -3, -3, -1, -2, -2, -2, -1, -3]",0.2
boredoms,-1.1,0.83066,"[-1, -1, -1, -2, 1, -1, -2, -1, -1, -2]",0.3625
slashed,-0.9,0.83066,"[-2, -1, -2, -1, -1, 0, 1, -1, -1, -1]",0.3875
elegance,2.1,0.53852,"[3, 2, 2, 1, 2, 2, 3, 2, 2, 2]",0.7625
geeky,-0.6,0.91652,"[0, 0, -1, 0, -1, 0, -1, 0, -3, 0]",0.425
forbid,-1.3,0.78102,"[-2, -2, -1, -1, -1, -1, 0, -1, -1, -3]",0.3375
playing,0.8,0.87178,"[0, 2, 2, 1, 0, 0, 2, 0, 0, 1]",0.6
abusiveness,-2.5,0.92195,"[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]",0.1875
blameless,0.7,1.73494,"[3, 1, 2, 3, -2, 1, -1, 1, 1, -2]",0.5875
shamelessnesses,-2.0,1.0,"[-2, 0, -2, -4, -2, -1, -2, -3, -2, -2]",0.25
optimisation,1.6,0.8,"[3, 1, 1, 1, 2, 1, 1, 3, 2, 1]",0.7
stank,-1.9,1.04403,"[-2, -2, -2, -1, -2, -4, -3, 0, -1, -2]",0.2625
deject,-2.2,0.6,"[-2, -3, -2, -3, -2, -2, -3, -2, -1, -2]",0.22499999999999998
verdicts,0.3,1.1,"[0, 0, 0, 0, 2, 2, 0, -2, 1, 0]",0.5375
gain,2.4,0.4899,"[2, 3, 2, 2, 3, 2, 3, 2, 3, 2]",0.8
leak,-1.4,0.66332,"[-1, -2, -1, -1, -1, -1, -1, -2, -3, -1]",0.325
whined,-0.9,1.04403,"[-2, -1, -2, -1, -1, -1, -2, 1, 1, -1]",0.3875
discounted,0.2,1.249,"[-1, 0, 3, -1, 0, 1, 1, 1, -1, -1]",0.525
hysterical,-0.1,1.97231,"[2, 0, 0, 3, -2, -2, 3, -1, -2, -2]",0.4875
toughening,0.9,0.83066,"[0, 2, 2, 1, 1, 0, 1, 0, 0, 2]",0.6125
revered,2.3,1.1,"[3, 3, 1, 3, 3, 3, 0, 3, 3, 1]",0.7875
magnifically,2.4,1.2,"[3, 3, 3, 2, 4, 0, 1, 2, 2, 4]",0.8
pitiers,-1.3,0.9,"[0, -1, -2, -2, -1, -1, -1, -3, -2, 0]",0.3375
hesitantly,-1.2,0.4,"[-1, -1, -2, -1, -1, -1, -1, -2, -1, -1]",0.35
adornment,1.3,0.78102,"[1, 3, 1, 0, 2, 2, 1, 1, 1, 1]",0.6625
exhaustiveness,-1.1,1.3,"[-2, -2, 0, -1, -1, 1, -4, -1, 0, -1]",0.3625
gossipry,-1.2,1.16619,"[1, 0, -1, -2, -1, -1, -1, -3, -3, -1]",0.35
sweetly,2.1,0.7,"[1, 2, 2, 2, 2, 2, 1, 3, 3, 3]",0.7625
defectors,-1.3,1.26886,"[-2, -1, -2, 0, -1, -1, -2, -4, 1, -1]",0.3375
boycotts,-1.4,0.91652,"[-2, -2, -2, -2, -1, -2, -1, 1, -1, -2]",0.325
feudalizes,-0.1,0.53852,"[0, 0, -1, 0, -1, 0, 0, 0, 1, 0]",0.4875
aggravates,-1.9,0.83066,"[-3, -2, -2, -2, -3, -1, -2, -2, 0, -2]",0.2625
battlefront,-1.2,0.87178,"[-1, 0, -2, -1, 0, -3, -1, -2, -1, -1]",0.35
championing,1.8,0.9798,"[1, 3, 2, 0, 3, 1, 2, 2, 1, 3]",0.725
nags,-1.1,0.53852,"[-1, -1, -2, -1, -1, -2, -1, -1, 0, -1]",0.3625
risker,-0.8,0.4,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, -1]",0.4
stupider,-2.5,0.5,"[-3, -2, -3, -3, -2, -2, -3, -2, -3, -2]",0.1875
impressiveness,1.7,0.64031,"[2, 1, 2, 3, 1, 2, 2, 2, 1, 1]",0.7125
satisfactorily,1.6,1.11355,"[1, 2, 2, -1, 2, 1, 3, 3, 1, 2]",0.7
blessed,2.9,0.3,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.8625
heroine,2.7,1.1,"[0, 2, 4, 4, 3, 3, 3, 3, 2, 3]",0.8375
argumentative,-1.5,0.67082,"[-3, -2, -1, -1, -1, -1, -1, -2, -2, -1]",0.3125
graces,1.6,0.4899,"[2, 2, 2, 1, 1, 2, 1, 2, 1, 2]",0.7
startlement,-0.5,1.20416,"[-1, 0, 0, 1, -1, -1, 2, -2, -1, -2]",0.4375
distrustfully,-1.8,0.6,"[-2, -1, -1, -2, -1, -2, -3, -2, -2, -2]",0.275
misleading,-1.7,0.64031,"[-2, -1, -3, -1, -1, -2, -2, -2, -1, -2]",0.2875
intellection,0.6,1.0198,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 3]",0.575
endorse,1.3,0.9,"[0, 1, 0, 1, 3, 2, 2, 2, 1, 1]",0.6625
smarten,1.9,0.7,"[3, 1, 2, 1, 2, 2, 2, 3, 1, 2]",0.7375
worsening,-2.0,0.44721,"[-2, -3, -2, -2, -2, -2, -1, -2, -2, -2]",0.25
struggling,-1.8,0.6,"[-2, -2, -2, -2, -1, -1, -2, -2, -3, -1]",0.275
endorsed,1.0,0.89443,"[1, 2, 0, 1, 1, 0, 1, 0, 3, 1]",0.625
tricksters,-1.3,0.9,"[-1, -2, -1, -2, 1, -2, -2, -1, -1, -2]",0.3375
loneliness,-1.8,0.6,"[-2, -2, -1, -3, -2, -2, -1, -2, -1, -2]",0.275
despising,-2.7,0.9,"[-4, -3, -3, -4, -1, -2, -3, -2, -2, -3]",0.16249999999999998
molest,-2.1,1.81384,"[-4, -1, -2, -4, -3, 1, -3, 1, -2, -4]",0.2375
hurters,-1.9,1.04403,"[-2, -3, -1, -2, -1, 0, -3, -3, -3, -1]",0.2625
appallingly,-2.0,1.67332,"[-3, -2, 0, -2, 2, -3, -4, -3, -2, -3]",0.25
splendidness,2.3,0.9,"[2, 1, 3, 3, 4, 2, 1, 3, 2, 2]",0.7875
kewl,1.3,0.45826,"[2, 1, 1, 1, 2, 1, 2, 1, 1, 1]",0.6625
prizewinning,3.0,0.7746,"[3, 3, 3, 3, 3, 4, 3, 1, 3, 4]",0.875
foes,-2.0,0.89443,"[-2, -1, -2, -2, -4, -3, -2, -1, -1, -2]",0.25
ticked,-1.8,0.6,"[-2, -1, -1, -2, -2, -1, -2, -2, -3, -2]",0.275
heronry,0.1,0.9434,"[0, 0, 0, 0, 0, 2, 0, 1, -2, 0]",0.5125
reached,0.4,0.4899,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0.55
fatiguingly,-1.5,0.80623,"[-1, 0, -3, -2, -1, -1, -2, -1, -2, -2]",0.3125
competent,1.3,0.78102,"[1, 3, 1, 1, 2, 1, 1, 0, 2, 1]",0.6625
