sign,negative,positive,neutral,prediction
harassed,-2.5,0.80623,"[-4, -2, -3, -3, -2, -2, -3, -2, -3, -1]",0.2108824
harasser,-2.4,0.8,"[-3, -2, -2, -3, -2, -2, -4, -2, -3, -1]",0.20766562
harassers,-2.8,0.6,"[-3, -3, -2, -2, -3, -3, -3, -4, -2, -3]",0.19728628
harasses,-2.5,0.80623,"[-3, -3, -2, -3, -2, -2, -4, -2, -3, -1]",0.19474812
harassing,-2.5,1.62788,"[-2, -4, -3, -4, -3, -3, 2, -2, -3, -3]",0.18141414
harassment,-2.5,0.67082,"[-2, -3, -2, -2, -3, -2, -4, -3, -2, -2]",0.22255677
harassments,-2.6,0.4899,"[-3, -3, -2, -3, -2, -3, -3, -2, -2, -3]",0.23157756
hard,-0.4,1.2,"[0, -1, 0, -1, 0, 1, -2, -1, -2, 2]",0.4642642
hardier,-0.6,1.68523,"[-3, -2, -2, 1, 1, 2, 1, 0, -2, -2]",0.44146803
hardship,-1.3,1.84662,"[-2, 2, -4, -1, -2, -3, -1, -2, 2, -2]",0.50601214
hardy,1.7,1.00499,"[1, 2, 1, 0, 2, 2, 4, 1, 2, 2]",0.54903597
harm,-2.5,0.80623,"[-2, -2, -2, -3, -2, -1, -3, -3, -3, -4]",0.38036355
harmed,-2.1,0.83066,"[-1, -4, -2, -2, -2, -2, -1, -2, -3, -2]",0.38090834
harmfully,-2.6,0.91652,"[-3, -4, -3, -1, -3, -3, -3, -3, -1, -2]",0.3205538
harmfulness,-2.6,0.8,"[-3, -1, -3, -3, -3, -2, -4, -2, -2, -3]",0.31742913
harming,-2.6,0.66332,"[-3, -3, -2, -2, -3, -3, -2, -2, -2, -4]",0.51804334
harmless,1.0,0.7746,"[2, 1, 1, 1, 1, 0, 0, 2, 0, 2]",0.44477803
harmlessly,1.4,1.2,"[4, 0, 1, 0, 1, 1, 1, 2, 3, 1]",0.43252203
harmlessness,0.8,1.16619,"[1, 2, 0, 1, 0, 1, 2, 1, 2, -2]",0.43537262
harmonic,1.8,0.87178,"[2, 1, 2, 3, 0, 1, 3, 2, 2, 2]",0.6975007
harmonica,0.6,0.8,"[0, 1, 0, 0, 0, 2, 1, 0, 2, 0]",0.70569986
harmonically,2.1,1.13578,"[3, 3, 4, 1, 0, 1, 2, 2, 2, 3]",0.76491725
harmonicas,0.1,0.3,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.6875053
harmonicist,0.5,0.92195,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 3]",0.6926222
harmonicists,0.9,1.3,"[2, 1, 0, 0, 2, 0, 0, 0, 4, 0]",0.6892618
harmonics,1.5,1.0247,"[2, 2, 2, 0, 0, 2, 3, 2, 0, 2]",0.6793328
harmonies,1.3,0.9,"[2, 0, 2, 1, 2, 2, 0, 2, 0, 2]",0.7009488
harmonious,2.0,1.09545,"[3, 4, 2, 2, 2, 0, 2, 3, 1, 1]",0.79058486
harmoniously,1.9,0.9434,"[4, 2, 2, 1, 2, 1, 1, 3, 2, 1]",0.77348286
harmoniousness,1.8,0.6,"[1, 2, 2, 2, 2, 1, 2, 3, 2, 1]",0.77427846
harmonise,1.8,0.74833,"[1, 1, 2, 3, 2, 1, 1, 3, 2, 2]",0.7025205
harmonised,1.3,0.9,"[2, 3, 2, 0, 2, 1, 1, 1, 1, 0]",0.7223654
harmonising,1.4,0.66332,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 3]",0.68985915
harmonium,0.9,1.22066,"[0, 3, 0, 2, 3, 0, 0, 0, 0, 1]",0.70602065
harmoniums,0.8,0.9798,"[0, 0, 0, 2, 0, 2, 0, 2, 2, 0]",0.69719666
harmonization,1.9,0.83066,"[3, 1, 2, 2, 2, 2, 3, 0, 2, 2]",0.7102885
harmonizations,0.9,0.9434,"[0, 0, 2, 0, 2, 2, 0, 2, 1, 0]",0.6737829
harmonize,1.7,0.78102,"[3, 2, 2, 1, 2, 2, 0, 1, 2, 2]",0.74910617
harmonized,1.6,0.91652,"[1, 2, 1, 1, 2, 2, 3, 3, 0, 1]",0.74604064
harmonizer,1.6,0.8,"[1, 2, 1, 1, 2, 2, 2, 3, 0, 2]",0.6684111
harmonizers,1.6,1.11355,"[2, 2, 2, 1, 2, 0, 4, 0, 2, 1]",0.70565844
harmonizes,1.5,0.92195,"[0, 2, 2, 2, 0, 1, 1, 2, 3, 2]",0.7296549
harmonizing,1.4,0.66332,"[0, 1, 1, 2, 2, 1, 2, 2, 1, 2]",0.7548157
harmony,1.7,0.45826,"[2, 2, 2, 2, 1, 2, 2, 2, 1, 1]",0.7067484
harms,-2.2,1.6,"[2, -3, -2, -2, -3, -2, -4, -4, -2, -2]",0.45106164
harried,-1.4,0.4899,"[-1, -1, -2, -1, -2, -2, -1, -1, -1, -2]",0.4241986
harsh,-1.9,0.7,"[-1, -1, -2, -2, -1, -3, -3, -2, -2, -2]",0.3045202
harsher,-2.2,0.6,"[-2, -3, -2, -3, -2, -2, -1, -3, -2, -2]",0.43991983
harshest,-2.9,0.83066,"[-4, -2, -2, -2, -2, -3, -3, -4, -4, -3]",0.29390648
hate,-2.7,1.00499,"[-4, -3, -4, -4, -2, -2, -2, -2, -1, -3]",0.25066343
hated,-3.2,0.6,"[-3, -3, -4, -3, -2, -3, -3, -4, -4, -3]",0.24228406
hateful,-2.2,1.249,"[-3, 1, -3, -3, -1, -2, -2, -3, -3, -3]",0.23683351
hatefully,-2.3,0.78102,"[-1, -3, -3, -3, -1, -2, -2, -2, -3, -3]",0.25763854
hatefulness,-3.6,0.4899,"[-4, -4, -3, -3, -3, -4, -4, -4, -4, -3]",0.26179928
hater,-1.8,0.6,"[-2, -1, -2, -2, -2, -1, -1, -2, -2, -3]",0.28045547
haters,-2.2,0.6,"[-2, -1, -3, -2, -3, -2, -3, -2, -2, -2]",0.30462924
hates,-1.9,0.7,"[-2, -1, -2, -2, -3, -1, -1, -2, -2, -3]",0.28291467
hating,-2.3,1.1,"[-4, -3, -4, -1, -2, -2, -1, -2, -1, -3]",0.27440882
hatred,-3.2,0.9798,"[-1, -3, -2, -4, -3, -3, -4, -4, -4, -4]",0.31658345
haunt,-1.7,1.00499,"[-1, -1, -3, -1, -2, -2, -1, -4, -1, -1]",0.52552253
haunted,-2.1,0.7,"[-2, -2, -1, -3, -3, -2, -2, -3, -1, -2]",0.49427134
haunting,-1.1,0.83066,"[-3, 0, -2, -1, 0, -1, -1, -1, -1, -1]",0.4983037
haunts,-1.0,1.41421,"[0, -2, -2, -2, -2, -1, 2, -2, 1, -2]",0.485604
havoc,-2.9,0.7,"[-2, -4, -4, -3, -2, -3, -3, -3, -2, -3]",0.5230302
healthy,1.7,0.9,"[1, 3, 1, 1, 3, 3, 1, 2, 1, 1]",0.6945455
heartbreak,-2.7,0.78102,"[-1, -3, -3, -3, -2, -4, -2, -3, -3, -3]",0.3651198
heartbreaker,-2.2,1.07703,"[-2, -3, 0, -3, -2, -1, -4, -3, -2, -2]",0.483444
heartbreakers,-2.1,0.9434,"[-3, -2, -3, -2, -1, -1, -4, -1, -2, -2]",0.45073852
heartbreaking,-2.0,1.73205,"[-3, -1, -3, -3, -4, 2, -3, -2, 0, -3]",0.32056147
heartbreakingly,-1.8,2.08806,"[-3, 3, 1, -3, -3, -2, -3, -3, -4, -1]",0.31824678
heartbreaks,-1.8,1.77764,"[-2, 1, -3, -2, -3, -2, -3, 2, -4, -2]",0.36601824
heartbroken,-3.3,0.45826,"[-4, -3, -3, -4, -3, -3, -4, -3, -3, -3]",0.25432387
heartfelt,2.5,0.5,"[3, 3, 2, 3, 2, 2, 3, 2, 2, 3]",0.76504904
heartless,-2.2,0.74833,"[-2, -2, -2, -4, -2, -1, -2, -3, -2, -2]",0.4023774
heartlessly,-2.8,0.6,"[-3, -2, -3, -3, -2, -3, -4, -2, -3, -3]",0.5892939
heartlessness,-2.8,0.87178,"[-3, -3, -2, -3, -4, -4, -1, -3, -2, -3]",0.40118998
heartwarming,2.1,1.22066,"[3, 2, 3, 3, 2, 2, 3, 3, -1, 1]",0.8549115
heaven,2.3,1.18743,"[1, 1, 2, 4, 3, 3, 3, 4, 1, 1]",0.7385848
heavenlier,3.0,0.63246,"[3, 2, 3, 3, 4, 3, 3, 4, 2, 3]",0.7258593
heavenliest,2.7,1.1,"[3, 2, 3, 4, 2, 4, 3, 0, 3, 3]",0.7687575
heavenliness,2.7,0.9,"[3, 2, 1, 4, 3, 2, 3, 4, 3, 2]",0.7405288
heavenlinesses,2.3,2.2383,"[4, 4, 4, 3, -2, 3, 3, 4, -2, 2]",0.73021114
heavenly,3.0,0.63246,"[3, 3, 3, 3, 2, 3, 3, 4, 2, 4]",0.79103976
heavens,1.7,1.18743,"[4, 0, 1, 2, 0, 3, 2, 2, 2, 1]",0.73953635
heavenward,1.4,1.35647,"[0, 3, 0, 4, 1, 2, 2, 0, 2, 0]",0.73831415
heavenwards,1.2,1.32665,"[1, 4, 0, 0, 2, 1, 1, 0, 3, 0]",0.72813094
heavyhearted,-2.1,0.83066,"[-2, -3, -3, -2, -3, -1, -1, -1, -2, -3]",0.45025447
heh,-0.6,1.28062,"[0, 1, -1, 1, -1, -2, -1, -3, 1, -1]",0.5545806
hell,-3.6,0.66332,"[-4, -4, -4, -4, -4, -2, -3, -4, -3, -4]",0.3594557
hellish,-3.2,0.74833,"[-3, -3, -2, -2, -4, -3, -4, -4, -3, -4]",0.39479503
help,1.7,0.78102,"[3, 2, 1, 2, 1, 2, 3, 1, 1, 1]",0.6439584
helper,1.4,0.8,"[1, 1, 0, 1, 1, 2, 1, 2, 3, 2]",0.6285898
helpers,1.1,0.83066,"[1, 1, 0, 2, 1, 1, 1, 1, 3, 0]",0.6193545
helpful,1.8,0.87178,"[2, 1, 3, 1, 1, 3, 1, 2, 3, 1]",0.70396715
helpfully,2.3,0.9,"[1, 2, 2, 3, 2, 3, 3, 2, 4, 1]",0.65887356
helpfulness,1.9,1.13578,"[1, 4, 1, 2, 2, 1, 1, 2, 4, 1]",0.73449695
helping,1.2,0.6,"[2, 1, 1, 2, 0, 1, 1, 1, 2, 1]",0.6235657
helpless,-2.0,0.63246,"[-2, -3, -2, -2, -2, -3, -1, -2, -1, -2]",0.3436712
helplessly,-1.4,0.4899,"[-1, -1, -2, -2, -1, -1, -1, -2, -2, -1]",0.35911182
helplessness,-2.1,0.9434,"[-2, -4, -1, -2, -1, -3, -3, -2, -1, -2]",0.3312532
helplessnesses,-1.7,0.64031,"[-2, -1, -2, -1, -2, -1, -3, -2, -1, -2]",0.35662457
helps,1.6,0.4899,"[1, 1, 1, 2, 2, 2, 1, 2, 2, 2]",0.6379577
hero,2.6,0.8,"[2, 3, 2, 2, 4, 4, 2, 3, 2, 2]",0.7047113
heroes,2.3,0.9,"[3, 4, 3, 1, 3, 2, 1, 2, 2, 2]",0.7248731
heroic,2.6,0.8,"[3, 3, 1, 4, 2, 3, 2, 3, 2, 3]",0.722653
heroical,2.9,1.04403,"[4, 4, 2, 4, 2, 3, 1, 4, 2, 3]",0.71245766
heroically,2.4,0.8,"[2, 2, 2, 3, 3, 3, 4, 1, 2, 2]",0.70604134
heroicomic,1.0,1.0,"[1, 0, 1, 0, 2, 0, 3, 1, 2, 0]",0.6891583
heroicomical,1.1,0.83066,"[2, 0, 0, 2, 1, 2, 1, 2, 1, 0]",0.68468326
heroics,2.4,0.8,"[2, 1, 2, 2, 2, 3, 3, 3, 4, 2]",0.6992974
heroin,-2.2,1.83303,"[0, -2, -4, 2, -4, -2, -2, -3, -3, -4]",0.6201267
heroine,2.7,1.1,"[0, 2, 4, 4, 3, 3, 3, 3, 2, 3]",0.68967766
heroines,1.8,1.32665,"[2, 1, 1, 4, 3, 1, 0, 3, 3, 0]",0.7263086
heroinism,-2.0,2.0,"[-3, -4, 2, -2, -4, -3, -2, -1, 1, -4]",0.6062876
heroism,2.8,0.6,"[3, 3, 4, 3, 2, 2, 3, 3, 2, 3]",0.7410378
heroisms,2.2,0.87178,"[3, 1, 2, 4, 3, 2, 2, 2, 1, 2]",0.7143513
heroize,2.1,0.7,"[3, 2, 3, 1, 2, 2, 2, 3, 1, 2]",0.6670079
heroized,2.0,1.18322,"[1, 0, 3, 3, 2, 0, 3, 3, 2, 3]",0.689135
heroizes,2.2,0.9798,"[1, 3, 2, 3, 4, 3, 2, 1, 2, 1]",0.73523676
heroizing,1.9,1.64012,"[2, 3, -2, 2, 4, 3, 2, 2, 3, 0]",0.67553896
heron,0.1,0.3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.5971553
heronries,0.7,1.1,"[2, 0, 0, 0, 2, 0, 3, 0, 0, 0]",0.5954835
heronry,0.1,0.9434,"[0, 0, 0, 0, 0, 2, 0, 1, -2, 0]",0.5666759
herons,0.5,1.0247,"[0, 0, 0, 3, 0, 2, 0, 0, 0, 0]",0.64579207
heros,1.3,1.18743,"[3, 0, 0, 2, 0, 2, 2, 3, 1, 0]",0.6506283
hesitance,-0.9,0.3,"[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",0.49145758
hesitancies,-1.0,0.63246,"[-1, -1, -1, -2, -1, -1, -2, 0, 0, -1]",0.49035358
hesitancy,-0.9,0.53852,"[0, -1, 0, -2, -1, -1, -1, -1, -1, -1]",0.48568976
hesitant,-1.0,0.7746,"[0, -1, 0, -1, -2, 0, -1, -2, -1, -2]",0.4835389
hesitantly,-1.2,0.4,"[-1, -1, -2, -1, -1, -1, -1, -2, -1, -1]",0.50173146
hesitate,-1.1,0.53852,"[-2, -1, -1, -1, -2, -1, -1, 0, -1, -1]",0.46276778
hesitated,-1.3,0.9,"[-1, -2, -1, -2, -2, -2, -1, 1, -1, -2]",0.4700659
hesitater,-1.4,0.66332,"[-1, -1, -1, -1, -1, -2, -1, -3, -2, -1]",0.45636752
hesitaters,-1.4,0.4899,"[-1, -2, -1, -1, -1, -1, -2, -2, -2, -1]",0.442429
hesitates,-1.4,0.4899,"[-1, -1, -1, -2, -1, -2, -1, -2, -2, -1]",0.42738283
hesitating,-1.4,0.66332,"[-1, -1, -2, -1, -1, -3, -2, -1, -1, -1]",0.45888618
hesitatingly,-1.5,0.80623,"[-1, -1, -1, -1, -3, -2, -3, -1, -1, -1]",0.47203958
hesitation,-1.1,0.53852,"[-2, 0, -1, -1, -1, -1, -1, -2, -1, -1]",0.45441297
hesitations,-1.1,0.53852,"[-1, -1, -1, 0, -2, -1, -1, -2, -1, -1]",0.44537112
hid,-0.4,0.4899,"[0, -1, 0, 0, -1, -1, -1, 0, 0, 0]",0.4679211
hide,-0.7,0.64031,"[0, -1, -1, -1, -1, 0, 0, -2, -1, 0]",0.4092832
hides,-0.7,0.9,"[-1, -2, -1, 0, -1, 0, 0, -2, 1, -1]",0.45749834
hiding,-1.2,0.4,"[-1, -1, -2, -1, -1, -1, -1, -1, -2, -1]",0.36549923
highlight,1.4,0.91652,"[3, 0, 1, 1, 2, 1, 0, 2, 2, 2]",0.6659526
hilarious,1.7,1.41774,"[2, 2, 2, 3, 3, 1, -2, 2, 3, 1]",0.6410642
hindrance,-1.7,0.78102,"[-2, -3, -2, -1, -1, -1, -3, -1, -2, -1]",0.37832105
hoax,-1.1,1.04403,"[-3, -1, -2, -1, 1, -2, -1, -1, -1, 0]",0.33306518
holiday,1.7,1.18743,"[1, 3, 2, 2, 0, 0, 1, 2, 4, 2]",0.6711534
holidays,1.6,1.0198,"[2, 0, 1, 2, 3, 0, 1, 2, 3, 2]",0.64833295
homesick,-0.7,1.67631,"[-2, -1, -1, -2, -1, -2, 2, -1, 3, -2]",0.2838692
homesickness,-1.8,1.249,"[-3, -2, -1, -1, -3, -2, -1, 1, -3, -3]",0.29483208
homesicknesses,-1.8,0.6,"[-1, -2, -2, -2, -1, -2, -1, -2, -3, -2]",0.30581215
honest,2.3,0.9,"[3, 2, 1, 2, 3, 1, 2, 3, 2, 4]",0.604502
honester,1.9,0.7,"[2, 3, 2, 2, 1, 3, 1, 1, 2, 2]",0.51123863
honestest,3.0,0.7746,"[1, 3, 3, 3, 3, 3, 4, 4, 3, 3]",0.59564483
honesties,1.8,1.07703,"[4, 3, 1, 1, 1, 1, 3, 2, 1, 1]",0.59744185
honestly,2.0,0.63246,"[2, 3, 2, 2, 1, 2, 2, 1, 3, 2]",0.5877345
honesty,2.2,0.6,"[2, 3, 2, 2, 1, 2, 3, 2, 3, 2]",0.5723332
honor,2.2,1.16619,"[3, 2, 1, 2, 0, 4, 3, 1, 3, 3]",0.6252459
honorability,2.2,0.4,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",0.66214633
honorable,2.5,0.67082,"[2, 2, 3, 2, 4, 3, 2, 2, 2, 3]",0.65136266
honorableness,2.2,0.87178,"[2, 4, 1, 3, 3, 2, 1, 2, 2, 2]",0.594467
honorably,2.4,0.66332,"[2, 2, 3, 2, 3, 3, 3, 1, 2, 3]",0.6153151
honoraria,0.6,0.8,"[1, 0, 1, 0, 0, 0, 2, 0, 2, 0]",0.5549309
honoraries,1.5,1.5,"[2, 2, 1, 3, 3, 1, -2, 2, 3, 0]",0.5240584
honorarily,1.9,0.7,"[2, 2, 3, 1, 2, 1, 2, 1, 3, 2]",0.5891274
honorarium,0.7,1.48661,"[3, 2, -1, 2, 1, -2, 1, 1, -1, 1]",0.54899776
honorariums,1.0,1.0,"[0, 0, 0, 0, 1, 2, 1, 3, 2, 1]",0.56897044
honorary,1.4,0.91652,"[2, 2, 2, 3, 1, 1, 0, 1, 2, 0]",0.57261795
honored,2.8,0.87178,"[3, 4, 4, 3, 1, 2, 2, 3, 3, 3]",0.67392015
honoree,2.1,0.7,"[3, 2, 3, 3, 1, 2, 1, 2, 2, 2]",0.57308155
honorees,2.3,0.78102,"[1, 3, 3, 4, 2, 2, 2, 2, 2, 2]",0.55947423
honorer,1.7,0.78102,"[2, 1, 3, 3, 1, 2, 1, 2, 1, 1]",0.5440881
honorers,1.3,0.45826,"[1, 1, 2, 2, 1, 1, 2, 1, 1, 1]",0.5673988
honorific,1.4,1.2,"[2, 2, 2, 2, 2, 1, 2, 1, 2, -2]",0.5872802
honorifically,2.2,0.74833,"[3, 4, 1, 2, 2, 2, 2, 2, 2, 2]",0.5587772
honorifics,1.7,0.78102,"[1, 2, 0, 1, 2, 2, 2, 3, 2, 2]",0.5685356
honoring,2.3,0.64031,"[3, 3, 1, 2, 2, 3, 3, 2, 2, 2]",0.5569477
honors,2.3,0.64031,"[3, 2, 2, 2, 1, 3, 3, 2, 3, 2]",0.58438003
honour,2.7,0.78102,"[2, 3, 2, 2, 2, 3, 4, 4, 3, 2]",0.6501092
honourable,2.1,0.53852,"[2, 3, 2, 2, 2, 1, 3, 2, 2, 2]",0.6365114
honoured,2.2,1.249,"[3, 3, 4, 3, -1, 2, 2, 2, 2, 2]",0.62422514
honourer,1.8,0.87178,"[2, 3, 2, 1, 2, 3, 1, 0, 2, 2]",0.64324194
honourers,1.6,1.0198,"[0, 2, 2, 1, 2, 2, 1, 3, 0, 3]",0.6575047
honouring,2.1,0.3,"[2, 2, 2, 3, 2, 2, 2, 2, 2, 2]",0.60648566
honours,2.2,0.87178,"[4, 3, 2, 2, 3, 2, 2, 1, 2, 1]",0.6316266
hooligan,-1.5,0.5,"[-1, -2, -1, -2, -2, -2, -1, -1, -2, -1]",0.41415796
hooliganism,-2.1,0.83066,"[-3, -2, -3, -3, -2, -2, -2, -2, 0, -2]",0.33159462
hooligans,-1.1,1.22066,"[-2, -1, -1, 2, -1, -1, -1, -3, -2, -1]",0.511939
hooray,2.3,0.9,"[3, 2, 3, 2, 1, 3, 1, 2, 2, 4]",0.5909463
hope,1.9,0.53852,"[3, 2, 2, 1, 2, 2, 1, 2, 2, 2]",0.68533784
hoped,1.6,0.4899,"[1, 2, 1, 1, 2, 2, 1, 2, 2, 2]",0.6072557
hopeful,2.3,0.78102,"[2, 1, 1, 3, 3, 3, 2, 3, 2, 3]",0.7116767
hopefully,1.7,0.78102,"[1, 3, 1, 3, 1, 2, 1, 1, 2, 2]",0.7108247
hopefulness,1.6,1.35647,"[2, 1, -2, 2, 3, 2, 1, 3, 2, 2]",0.7753421
hopeless,-2.0,1.78885,"[-3, -3, -3, -3, 3, -1, -3, -3, -2, -2]",0.38899222
hopelessly,-2.2,0.74833,"[-3, -4, -2, -2, -1, -2, -2, -2, -2, -2]",0.40870854
hopelessness,-3.1,0.7,"[-3, -4, -4, -3, -3, -3, -4, -3, -2, -2]",0.4135923
hopes,1.8,0.6,"[1, 3, 1, 2, 2, 2, 1, 2, 2, 2]",0.6190836
hoping,1.8,0.4,"[2, 2, 2, 1, 2, 2, 2, 2, 2, 1]",0.56821924
horrendous,-2.8,0.87178,"[-3, -3, -4, -4, -3, -3, -2, -2, -1, -3]",0.27788025
horrendously,-1.9,1.92094,"[-3, -2, -4, -4, 2, -1, -3, -2, 1, -3]",0.24013364
horrent,-0.9,1.04403,"[0, -1, -2, 0, 0, -3, -1, 0, -2, 0]",0.47575322
horrible,-2.5,0.67082,"[-2, -2, -3, -2, -2, -4, -3, -3, -2, -2]",0.34608912
horribleness,-2.4,0.4899,"[-3, -3, -2, -2, -3, -2, -2, -3, -2, -2]",0.29288545
horribles,-2.1,0.7,"[-2, -4, -2, -2, -1, -2, -2, -2, -2, -2]",0.4212254
horribly,-2.4,0.66332,"[-2, -2, -2, -2, -2, -4, -3, -3, -2, -2]",0.29424566
horrid,-2.5,1.0247,"[-2, -3, -3, -4, -4, -1, -2, -2, -3, -1]",0.3906372
horridly,-1.4,1.49666,"[-2, 0, -3, -2, 0, -3, 2, -2, -2, -2]",0.49614915
horridness,-2.3,1.26886,"[-3, -3, -2, 1, -3, -3, -3, -3, -1, -3]",0.34419557
horridnesses,-3.0,1.09545,"[-2, -3, -4, -4, -4, -4, -2, -2, -1, -4]",0.35908648
horrific,-3.4,0.91652,"[-2, -4, -4, -4, -2, -4, -2, -4, -4, -4]",0.30329534
horrifically,-2.9,0.7,"[-2, -3, -2, -4, -2, -4, -3, -3, -3, -3]",0.2335278
horrified,-2.5,0.92195,"[-2, -3, -2, -2, -1, -4, -2, -2, -3, -4]",0.33320946
horrifies,-2.9,1.22066,"[-1, -3, -2, -1, -4, -4, -4, -4, -2, -4]",0.36424562
horrify,-2.5,0.67082,"[-2, -2, -3, -2, -2, -2, -4, -2, -3, -3]",0.4500583
horrifying,-2.7,0.9,"[-3, -4, -3, -2, -3, -3, -4, -2, -2, -1]",0.35643658
horrifyingly,-3.3,0.9,"[-3, -3, -4, -4, -1, -4, -3, -3, -4, -4]",0.329657
horror,-2.7,1.1,"[-3, -1, -4, -4, -4, -3, -1, -2, -3, -2]",0.34272447
horrors,-2.7,0.64031,"[-3, -3, -4, -3, -2, -2, -2, -3, -2, -3]",0.39372134
hostile,-1.6,1.74356,"[-4, -3, -3, -1, 1, -2, 2, -2, -2, -2]",0.3905447
hostilely,-2.2,0.6,"[-1, -3, -3, -2, -2, -2, -2, -2, -2, -3]",0.38260183
hostiles,-1.3,1.9,"[-3, -3, -3, -3, -1, 2, -3, -1, 1, 1]",0.43197793
hostilities,-2.1,0.53852,"[-2, -3, -2, -2, -2, -2, -1, -2, -3, -2]",0.42733276
hostility,-2.5,0.80623,"[-2, -2, -3, -3, -3, -2, -4, -2, -3, -1]",0.3695345
huckster,-0.9,0.7,"[-1, 0, -1, 0, -1, -2, -2, 0, -1, -1]",0.42605484
hug,2.1,1.04403,"[1, 3, 2, 1, 1, 2, 3, 3, 1, 4]",0.7483946
huge,1.3,0.9,"[0, 2, 2, 0, 0, 2, 2, 2, 1, 2]",0.59048814
huggable,1.6,0.66332,"[2, 2, 1, 1, 1, 3, 1, 2, 2, 1]",0.78648204
hugged,1.7,0.78102,"[2, 2, 2, 2, 3, 1, 1, 2, 0, 2]",0.6956009
hugger,1.6,0.91652,"[3, 2, 2, 2, 3, 1, 1, 1, 0, 1]",0.5981164
huggers,1.8,0.6,"[1, 3, 1, 2, 1, 2, 2, 2, 2, 2]",0.7230471
hugging,1.8,0.74833,"[2, 1, 1, 3, 3, 2, 2, 1, 2, 1]",0.6813678
hugs,2.2,0.74833,"[3, 2, 1, 2, 2, 2, 3, 1, 3, 3]",0.75967795
humerous,1.4,1.11355,"[-1, 2, 2, 3, 1, 1, 2, 0, 2, 2]",0.5830965
humiliate,-2.5,1.28452,"[-3, -3, -3, -3, -2, -2, -4, -3, 1, -3]",0.28489673
humiliated,-1.4,2.498,"[3, -3, -4, -3, -3, -4, -3, 0, 1, 2]",0.3015256
humiliates,-1.0,2.09762,"[1, -2, -3, -3, -3, -2, -3, 1, 2, 2]",0.3040972
humiliating,-1.2,1.8868,"[-4, -1, -3, -1, 2, -1, 2, -3, -2, -1]",0.27399844
humiliatingly,-2.6,0.4899,"[-3, -3, -2, -2, -3, -3, -3, -3, -2, -2]",0.2979433
humiliation,-2.7,0.78102,"[-2, -3, -4, -2, -2, -2, -3, -2, -4, -3]",0.28269014
humiliations,-2.4,0.66332,"[-3, -2, -2, -2, -2, -2, -2, -3, -2, -4]",0.33448157
humor,1.1,0.53852,"[1, 0, 2, 2, 1, 1, 1, 1, 1, 1]",0.6910573
humoral,0.6,1.0198,"[2, 0, 0, 0, 0, 0, 3, 1, 0, 0]",0.6561048
humored,1.2,0.87178,"[1, 1, 2, 2, 1, 1, 2, 1, 2, -1]",0.69054586
humoresque,1.2,0.6,"[1, 1, 1, 2, 1, 2, 2, 1, 1, 0]",0.6549116
humoresques,0.9,1.04403,"[1, 0, 2, 0, 0, 1, 2, 0, 3, 0]",0.6604003
humoring,2.1,0.7,"[3, 2, 2, 2, 1, 2, 2, 1, 3, 3]",0.6917974
humorist,1.2,0.74833,"[1, 2, 1, 1, 2, 1, 2, 0, 0, 2]",0.7054388
humoristic,1.5,0.80623,"[3, 0, 2, 1, 2, 1, 2, 2, 1, 1]",0.69846386
humorists,1.3,0.78102,"[2, 1, 1, 1, 0, 1, 2, 3, 1, 1]",0.6792566
humorless,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -2, -1, -1, -2]",0.57212687
humorlessness,-1.4,1.11355,"[1, -3, -3, -1, -1, -2, -1, -1, -2, -1]",0.60826087
humorous,1.6,0.4899,"[1, 2, 1, 2, 2, 1, 2, 2, 1, 2]",0.7477928
humorously,2.3,0.78102,"[3, 3, 2, 2, 1, 3, 3, 1, 2, 3]",0.7096263
humorousness,2.4,0.66332,"[1, 2, 3, 2, 3, 2, 3, 3, 2, 3]",0.73545986
humors,1.6,0.4899,"[2, 1, 2, 2, 2, 2, 1, 2, 1, 1]",0.6368735
humour,2.1,0.9434,"[1, 2, 2, 4, 2, 1, 1, 3, 3, 2]",0.6762278
humoured,1.1,0.53852,"[1, 0, 1, 2, 2, 1, 1, 1, 1, 1]",0.59304506
humouring,1.7,0.78102,"[2, 3, 1, 2, 1, 0, 2, 2, 2, 2]",0.707195
humourous,2.0,0.7746,"[1, 2, 3, 2, 2, 3, 3, 2, 1, 1]",0.7450046
hunger,-1.0,1.67332,"[-4, 0, 2, -2, -1, -2, 1, -2, 0, -2]",0.4000695
hurrah,2.6,0.8,"[3, 2, 3, 3, 1, 3, 4, 2, 2, 3]",0.5425784
hurrahed,1.9,0.53852,"[2, 2, 1, 1, 2, 2, 3, 2, 2, 2]",0.4391454
hurrahing,2.4,0.4899,"[3, 2, 2, 2, 3, 2, 3, 3, 2, 2]",0.4257773
hurrahs,2.1,1.44568,"[2, 3, 0, 3, 2, 3, -1, 2, 3, 4]",0.518033
hurray,2.7,0.78102,"[3, 2, 3, 3, 1, 3, 4, 2, 3, 3]",0.53208464
hurrayed,1.8,1.32665,"[3, 3, 2, 3, 3, 3, 0, 0, 1, 0]",0.52000743
