sign,negative,positive,neutral,predicted,loss
smartness,2.0,0.89443,"[1, 3, 3, 1, 2, 1, 2, 3, 1, 3]",1.4101987,0.5898013114929199
solemnly,0.8,0.9798,"[0, 2, 0, 1, 1, 2, -1, 2, 1, 0]",0.21001625,0.5899837493896485
grouch,-2.2,0.87178,"[-2, -3, -3, -3, -2, -1, -3, -1, -1, -3]",-1.609849,0.5901510238647463
defensiveness,-0.4,1.11355,"[2, -1, -1, -1, -1, 0, 0, 1, -2, -1]",0.190413,0.5904129981994629
beaut,1.6,1.2,"[2, 2, 2, 0, 1, -1, 2, 3, 3, 2]",2.1905246,0.5905245780944823
sob,-1.0,1.34164,"[-1, -2, -2, -2, -1, -1, 2, 1, -2, -2]",-0.4094138,0.5905861854553223
invigorator,1.1,1.3,"[3, 1, 0, 2, 2, -2, 1, 1, 2, 1]",0.5094137,0.590586280822754
fucktard,-3.1,0.9434,"[-4, -4, -4, -3, -4, -2, -4, -2, -2, -2]",-2.5093923,0.5906077384948731
appreciations,1.7,0.78102,"[3, 2, 1, 2, 2, 1, 3, 1, 1, 1]",2.2908735,0.5908735275268555
disillusion,-1.0,1.18322,"[-2, 0, -2, -1, -2, 1, -2, -1, 1, -2]",-1.5911291,0.5911290645599365
nicest,2.2,0.87178,"[1, 4, 1, 2, 2, 2, 3, 3, 2, 2]",1.6087384,0.5912615776062013
demanded,-0.9,0.7,"[-2, 0, 0, 0, -2, -1, -1, -1, -1, -1]",-1.4915135,0.5915134906768799
dumbfound,-0.1,1.92094,"[3, -2, -1, -1, 1, 1, -3, 3, -1, -1]",-0.6918931,0.5918931007385254
trickishness,-0.4,1.28062,"[-1, 1, -2, -1, -1, -1, 0, -2, 1, 2]",-0.99195147,0.5919514656066894
lies,-1.8,0.9798,"[-1, -1, -1, 0, -2, -3, -3, -2, -3, -2]",-1.2075825,0.5924175262451172
affections,1.5,1.11803,"[-1, 3, 2, 2, 1, 1, 2, 1, 3, 1]",2.0924277,0.5924277305603027
depressurized,-0.3,0.64031,"[0, 0, 0, 0, 0, 0, -1, 0, -2, 0]",-0.892457,0.5924570083618164
interruptive,-1.4,0.66332,"[-2, -2, -1, -2, -2, 0, -1, -1, -1, -2]",-0.80694485,0.5930551528930663
uneasily,-1.4,1.0198,"[-2, -2, -1, -1, -2, 1, -3, -1, -2, -1]",-0.8069401,0.5930599212646483
amaze,2.5,1.0247,"[3, 2, 3, 4, 2, 3, 1, 4, 2, 1]",1.906887,0.5931129455566406
sincerer,2.0,1.0,"[1, 3, 3, 2, 3, 2, 1, 3, 0, 2]",1.4068584,0.5931415557861328
argued,-1.5,0.5,"[-2, -2, -1, -1, -1, -1, -2, -2, -2, -1]",-2.0933523,0.5933523178100586
successfulness,2.7,0.78102,"[3, 3, 4, 3, 3, 2, 3, 2, 1, 3]",2.1065946,0.5934054374694826
exposed,-0.3,1.18743,"[-2, -1, 0, 2, 0, 0, -1, 1, -2, 0]",-0.89342546,0.5934254646301269
defect,-1.4,0.8,"[-2, -1, -2, -1, 0, -2, -3, -1, -1, -1]",-0.80654335,0.5934566497802733
agonized,-2.2,1.249,"[-2, -3, -3, -3, -3, -2, -1, -3, 1, -3]",-1.6065037,0.5934962749481203
serious,-0.3,0.45826,"[0, -1, 0, -1, -1, 0, 0, 0, 0, 0]",0.29377556,0.5937755584716797
valuable,2.1,0.83066,"[3, 2, 4, 2, 2, 2, 2, 1, 1, 2]",1.5061398,0.5938602447509767
riskiness,-1.3,1.00499,"[-3, -1, -1, 0, -1, 0, -1, -3, -2, -1]",-0.70545006,0.5945499420166016
warmongers,-2.8,0.87178,"[-2, -3, -4, -4, -3, -1, -2, -3, -3, -3]",-2.2051785,0.5948215007781981
puzzled,-0.7,0.45826,"[0, 0, -1, -1, 0, -1, -1, -1, -1, -1]",-0.10499191,0.5950080871582031
obnoxiousness,-2.1,0.7,"[-3, -1, -1, -2, -2, -3, -2, -2, -3, -2]",-1.5048118,0.5951882362365724
stifled,-1.4,0.66332,"[-1, -1, -1, -1, -3, -1, -2, -2, -1, -1]",-0.80411243,0.5958875656127929
dysfunction,-1.8,0.6,"[-2, -3, -2, -1, -2, -1, -2, -1, -2, -2]",-2.3960433,0.5960433006286621
victimologists,-0.4,0.91652,"[0, 1, 0, -2, -2, 0, 0, 0, -1, 0]",-0.99637556,0.596375560760498
apologize,0.4,0.8,"[1, -1, 0, 1, 1, 1, -1, 1, 0, 1]",-0.19673014,0.5967301368713379
cherished,2.3,0.64031,"[3, 2, 2, 3, 2, 2, 1, 3, 2, 3]",1.7032633,0.5967367172241209
grand,2.0,0.63246,"[2, 2, 3, 1, 2, 2, 2, 2, 3, 1]",1.4031672,0.5968327522277832
distract,-1.2,0.6,"[-1, -1, 0, -2, -1, -1, -1, -2, -1, -2]",-0.6029134,0.5970866203308105
honourer,1.8,0.87178,"[2, 3, 2, 1, 2, 3, 1, 0, 2, 2]",1.2025638,0.5974362373352051
irritative,-2.0,0.63246,"[-3, -2, -3, -2, -1, -2, -2, -2, -1, -2]",-2.5978234,0.5978233814239502
touted,-0.2,0.9798,"[-1, 2, 0, -2, -1, 0, 0, 0, 0, 0]",-0.79810953,0.5981095314025879
interruptions,-1.7,0.45826,"[-2, -2, -2, -2, -2, -1, -1, -1, -2, -2]",-1.1017184,0.5982815742492675
traumatizes,-1.4,1.42829,"[-2, -1, -2, -2, 2, -4, -1, -2, -1, -1]",-1.9985871,0.5985871315002442
irony,-0.2,1.07703,"[-1, 0, -3, 0, 0, 0, 1, 0, 1, 0]",0.39878273,0.598782730102539
inspiratory,1.5,0.67082,"[2, 2, 3, 1, 1, 1, 1, 1, 2, 1]",0.9010005,0.5989995002746582
fought,-1.3,0.78102,"[-2, -1, -2, -1, 0, -1, -1, -1, -1, -3]",-0.7008138,0.5991862297058106
risky,-0.8,0.9798,"[-1, 1, -1, -1, -1, 0, 0, -1, -3, -1]",-0.20078754,0.5992124557495118
fumet,0.4,1.0198,"[2, 0, 0, -1, 0, 1, -1, 0, 2, 1]",-0.19944859,0.5994485855102539
perfecto,1.3,1.34536,"[1, 0, 0, 2, 0, 0, 1, 4, 3, 2]",1.8994575,0.5994574546813964
stammerers,-0.8,0.4,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1]",-0.20009136,0.5999086380004883
calmer,1.5,0.67082,"[1, 2, 3, 1, 1, 1, 2, 1, 2, 1]",0.89989567,0.6001043319702148
hesitant,-1.0,0.7746,"[0, -1, 0, -1, -2, 0, -1, -2, -1, -2]",-0.39966726,0.6003327369689941
charminger,1.5,0.67082,"[2, 3, 1, 2, 1, 1, 2, 1, 1, 1]",2.1011567,0.6011567115783691
neater,1.0,0.44721,"[1, 1, 1, 1, 1, 1, 2, 0, 1, 1]",0.3986206,0.60137939453125
neglectfully,-2.1,0.9434,"[-1, -3, -3, -1, -1, -2, -2, -2, -4, -2]",-2.7015085,0.6015085220336913
beautified,2.1,0.7,"[2, 2, 3, 1, 2, 2, 3, 1, 2, 3]",2.7017384,0.6017383575439452
improvers,1.3,0.78102,"[1, 2, 2, 1, 2, 2, 0, 0, 1, 2]",0.6979041,0.6020958900451661
pityingly,-1.0,1.26491,"[-2, -2, -1, -2, -2, 0, 0, -1, 2, -2]",-1.602195,0.6021950244903564
cheating,-2.6,0.91652,"[-2, -3, -3, -2, -4, -4, -3, -2, -1, -2]",-3.2023823,0.6023823261260985
forbid,-1.3,0.78102,"[-2, -2, -1, -1, -1, -1, 0, -1, -1, -3]",-0.69736624,0.6026337623596192
joystick,0.7,0.78102,"[1, 0, 2, 2, 0, 0, 1, 1, 0, 0]",1.3026395,0.6026394844055176
disputing,-1.7,0.64031,"[-2, -2, -2, -2, -1, -1, -3, -1, -1, -2]",-1.0972524,0.602747631072998
imprisoned,-2.0,1.0,"[-4, -2, -3, -1, -3, -2, -1, -2, -1, -1]",-1.3969979,0.6030020713806152
solemnizes,0.6,0.91652,"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0]",-0.0030293465,0.6030293464660644
champerty,-0.2,1.32665,"[-2, -1, 0, -1, 0, 0, 0, -2, 2, 2]",0.40306377,0.6030637741088867
weakened,-1.3,0.9,"[-2, -1, -1, -1, -1, -2, -2, -2, 1, -2]",-1.9031358,0.6031357765197753
averted,-0.3,1.00499,"[-1, 1, 0, 0, 1, 0, -2, 0, 0, -2]",0.30321026,0.6032102584838868
ignorantly,-1.6,0.91652,"[-1, -2, -2, -2, -2, -2, -2, 1, -2, -2]",-2.2036695,0.6036695480346679
flirtation,1.7,0.64031,"[3, 1, 1, 2, 2, 1, 2, 1, 2, 2]",1.0960336,0.6039664268493652
depressurizing,-0.7,1.34536,"[2, 0, -1, -1, -2, -2, 1, -2, 0, -2]",-1.3049507,0.6049507141113282
definite,1.1,0.7,"[2, 1, 0, 1, 0, 1, 1, 2, 2, 1]",0.49473763,0.6052623748779298
looming,-0.5,1.5,"[-2, -1, -1, 0, -2, -2, 3, -1, 0, 1]",0.10567379,0.6056737899780273
calm,1.3,0.78102,"[1, 1, 0, 1, 2, 3, 2, 1, 1, 1]",0.6939616,0.6060383796691895
legal,0.5,0.80623,"[0, 0, 0, 2, 0, 1, 0, 0, 2, 0]",-0.1060462,0.606046199798584
gratifyingly,2.0,0.63246,"[2, 2, 2, 1, 3, 2, 1, 3, 2, 2]",2.6061487,0.6061487197875977
agree,1.5,1.11803,"[1, 0, 3, 1, 2, 1, 4, 1, 1, 1]",0.89353323,0.6064667701721191
unattractive,-1.9,0.53852,"[-1, -2, -3, -2, -1, -2, -2, -2, -2, -2]",-2.5064971,0.6064971446990968
awaited,-0.1,0.83066,"[1, 0, 0, 0, 1, -1, 0, 0, -2, 0]",0.506567,0.6065670013427734
delightedness,2.1,0.53852,"[2, 2, 2, 2, 3, 2, 3, 2, 1, 2]",2.706788,0.6067880630493163
fraudster,-2.5,0.92195,"[-4, -1, -2, -2, -4, -2, -3, -2, -3, -2]",-3.1076376,0.6076376438140869
excelling,2.5,0.67082,"[2, 2, 3, 3, 3, 2, 2, 4, 2, 2]",1.8922982,0.6077017784118652
determinations,0.8,1.16619,"[0, 3, 1, 0, 1, 3, 0, 0, 0, 0]",0.19209146,0.6079085350036622
sucker,-2.4,1.2,"[-3, -1, -1, -2, -1, -4, -4, -2, -4, -2]",-1.7920825,0.6079174518585204
oxymoron,-0.5,0.80623,"[0, 0, -1, -1, -1, -2, 1, 0, 0, -1]",-1.1079421,0.6079421043395996
remorse,-1.1,1.51327,"[-3, -1, -3, 1, 2, -2, -1, -1, -2, -1]",-0.49172974,0.6082702636718751
obsessed,-0.7,0.78102,"[0, 0, -1, 0, -1, 0, -1, -2, -2, 0]",-0.09162426,0.6083757400512695
pressurizers,-0.7,0.9,"[-1, 0, -2, -1, -2, -1, 0, 0, 1, -1]",-0.091566086,0.6084339141845703
falling,-0.6,1.8,"[-2, -2, -1, 0, -1, 3, -3, 2, 0, -2]",0.008542538,0.608542537689209
greater,1.5,0.67082,"[2, 1, 2, 1, 2, 2, 2, 1, 0, 2]",0.89143085,0.6085691452026367
unmatched,-0.3,2.0025,"[0, -1, 2, 3, 0, -1, -3, 0, -4, 1]",0.3086548,0.60865478515625
screwer,-1.2,0.87178,"[-1, -2, -1, -2, 0, 0, -2, 0, -2, -2]",-0.5912876,0.6087123870849609
hurt,-2.4,0.8,"[-3, -3, -2, -2, -4, -3, -2, -1, -2, -2]",-1.7912803,0.6087197303771972
sentimentalisms,0.4,0.8,"[0, 1, 1, 0, 0, 2, 1, 0, 0, -1]",1.0090232,0.6090231895446777
tragedian,-0.5,0.67082,"[-2, 0, -1, 0, 0, -1, 0, -1, 0, 0]",-1.1094198,0.6094198226928711
vindicating,-1.1,1.97231,"[-3, -2, 2, -3, -2, 1, 1, 1, -3, -3]",-0.49035263,0.6096473693847657
severely,-2.0,0.89443,"[-2, -1, -1, -2, -2, -1, -3, -2, -4, -2]",-1.390347,0.6096529960632324
magnificences,2.3,0.9,"[3, 4, 3, 1, 3, 2, 1, 2, 2, 2]",2.91008,0.6100799560546877
heron,0.1,0.3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.7100878,0.610087776184082
angering,-2.2,0.6,"[-3, -2, -1, -3, -2, -2, -3, -2, -2, -2]",-1.5898488,0.610151243209839
homesickness,-1.8,1.249,"[-3, -2, -1, -1, -3, -2, -1, 1, -3, -3]",-2.4103358,0.6103357791900634
dissatisfied,-1.6,0.66332,"[-2, -3, -1, -2, -1, -1, -2, -2, -1, -1]",-2.2103572,0.6103571891784667
promiscuity,-1.8,1.07703,"[-1, -2, -4, -2, -3, -1, 0, -2, -1, -2]",-1.1895757,0.6104243278503418
sentimentalising,0.4,0.91652,"[0, 2, 0, 0, 0, -1, 1, 0, 2, 0]",1.0105877,0.6105876922607422
aggravates,-1.9,0.83066,"[-3, -2, -2, -2, -3, -1, -2, -2, 0, -2]",-2.5109696,0.610969638824463
stronghold,0.5,0.80623,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 1]",-0.111138344,0.6111383438110352
bitterly,-2.0,0.63246,"[-2, -2, -1, -1, -2, -2, -3, -2, -2, -3]",-1.3887129,0.6112871170043945
flirty,0.6,1.35647,"[2, -2, 2, 1, 1, -2, 1, 1, 1, 1]",1.211319,0.6113189697265625
fantastical,2.0,1.18322,"[-1, 3, 2, 2, 2, 2, 3, 1, 3, 3]",2.611558,0.6115579605102539
creditability,1.9,1.3,"[3, 0, 4, 0, 1, 1, 3, 2, 2, 3]",1.288167,0.6118330001831054
admirableness,2.2,0.87178,"[2, 2, 3, 3, 3, 1, 3, 1, 3, 1]",1.5877814,0.6122185707092287
ugliest,-2.8,0.74833,"[-3, -3, -4, -3, -3, -3, -3, -3, -1, -2]",-2.187641,0.6123590946197508
distraught,-2.6,0.8,"[-2, -3, -2, -3, -4, -2, -3, -3, -1, -3]",-1.9873729,0.612627124786377
prejudiced,-1.9,0.53852,"[-2, -3, -1, -2, -1, -2, -2, -2, -2, -2]",-2.5127962,0.61279616355896
safeguards,1.4,0.66332,"[1, 2, 1, 1, 0, 2, 2, 2, 2, 1]",0.7870393,0.6129607200622558
hopeless,-2.0,1.78885,"[-3, -3, -3, -3, 3, -1, -3, -3, -2, -2]",-1.3869014,0.6130986213684082
glooms,-0.9,1.57797,"[3, -2, -1, -2, -2, -2, 1, -2, -1, -1]",-0.28632355,0.6136764526367188
prevent,0.1,1.22066,"[-2, 1, 0, 0, -1, 2, -1, 2, 0, 0]",-0.5138831,0.613883113861084
champac,-0.2,0.6,"[0, 0, -2, 0, 0, 0, 0, 0, 0, 0]",0.413898,0.6138979911804199
depriver,-1.6,0.91652,"[-1, -2, -1, -2, -1, -4, -2, -1, -1, -1]",-0.98498154,0.6150184631347657
lamentableness,-1.3,0.64031,"[-2, -1, -1, 0, -2, -1, -1, -1, -2, -2]",-0.6847367,0.6152632713317872
frustratingly,-2.0,0.63246,"[-1, -3, -2, -2, -2, -2, -2, -3, -2, -1]",-2.6153507,0.6153507232666016
raptures,0.7,2.05183,"[0, -2, 0, 2, 4, -2, 4, -1, 1, 1]",0.084448814,0.6155511856079101
yummy,2.4,1.0198,"[1, 2, 4, 3, 2, 2, 3, 1, 4, 2]",3.0156727,0.6156726837158204
stealthy,-0.1,0.7,"[0, 0, 0, -1, 1, -1, -1, 0, 1, 0]",0.51591015,0.6159101486206054
champagnes,0.5,0.92195,"[0, 0, 0, 0, 0, 1, 1, 3, 0, 0]",1.1162095,0.6162095069885254
vulnerability,-0.9,1.75784,"[1, -1, -1, -2, 1, -3, -1, 2, -4, -1]",-0.28356123,0.6164387702941895
popularises,0.5,0.67082,"[1, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-0.116756916,0.6167569160461426
irritability,-1.4,1.28062,"[-2, -1, -2, -1, 2, -2, -2, -2, -1, -3]",-2.0174294,0.6174293518066407
dumbfounded,-1.6,1.11355,"[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]",-0.9823613,0.6176386833190919
astound,1.7,1.26886,"[2, 2, 2, 2, 0, 3, 4, 0, 0, 2]",1.0823426,0.6176573753356933
hating,-2.3,1.1,"[-4, -3, -4, -1, -2, -2, -1, -2, -1, -3]",-2.9177825,0.6177825450897219
sulky,-0.8,1.77764,"[-3, 3, -2, -3, 0, -2, 0, -1, 1, -1]",-1.4183121,0.6183120727539062
enslaves,-1.6,2.15407,"[2, -2, -3, -2, -4, -4, -4, 1, -1, 1]",-2.218335,0.6183349132537841
marvels,2.0,0.89443,"[3, 1, 1, 3, 1, 2, 1, 2, 3, 3]",1.3816223,0.618377685546875
troubling,-2.5,0.67082,"[-3, -3, -3, -3, -1, -2, -3, -2, -3, -2]",-1.8815947,0.6184053421020508
freak,-1.9,0.9434,"[-3, -2, -1, -2, -4, -1, -2, -1, -2, -1]",-1.281497,0.6185029983520507
dumbing,-0.5,1.0247,"[-1, 2, -1, 0, -1, -2, -1, 0, 0, -1]",-1.1190023,0.6190023422241211
shakiest,-1.2,0.74833,"[-1, 0, 0, -1, -1, -1, -2, -2, -2, -2]",-0.5808625,0.6191374778747558
pressuring,-1.4,0.91652,"[-3, -1, -1, -1, -1, -1, -1, -3, -2, 0]",-0.78062296,0.619377040863037
excellency,2.5,0.80623,"[4, 2, 3, 3, 2, 3, 1, 3, 2, 2]",1.8801723,0.6198277473449707
desired,1.1,1.04403,"[1, 1, 0, 3, 1, 0, 1, 1, 3, 0]",0.47956276,0.620437240600586
awarded,1.7,0.78102,"[2, 0, 1, 3, 2, 2, 2, 1, 2, 2]",1.0794277,0.620572280883789
defensives,-0.3,1.00499,"[-1, 0, 0, -1, 0, -1, 0, -2, 2, 0]",0.3216772,0.6216772079467774
tremble,-1.1,1.3,"[-2, 0, -1, -2, -2, -2, 2, 0, -2, -2]",-0.47778177,0.6222182273864747
witch,-1.5,0.80623,"[-1, -2, -2, -1, -3, 0, -2, -2, -1, -1]",-0.8773489,0.6226511001586914
forbiddance,-1.4,1.35647,"[-3, -1, -2, -3, -1, 2, -1, -2, -2, -1]",-0.77722216,0.6227778434753417
embrace,1.3,1.34536,"[3, 2, 1, 3, 2, -1, 2, 1, -1, 1]",0.67716074,0.6228392601013184
ludicrousness,-1.9,1.57797,"[-1, 2, -2, -3, -2, -2, -3, -4, -1, -3]",-1.2770028,0.6229971885681151
shakeouts,-0.8,1.16619,"[-2, -1, 0, 0, -1, 2, -2, -1, -2, -1]",-0.17653942,0.6234605789184571
mooch,-1.7,0.9,"[-1, -1, -1, -3, -1, -3, -3, -2, -1, -1]",-1.0760527,0.6239473342895507
felonies,-2.5,0.5,"[-3, -3, -3, -2, -2, -2, -2, -3, -2, -3]",-1.8760386,0.6239614486694336
deliciously,1.9,0.83066,"[2, 2, 1, 3, 1, 3, 2, 3, 1, 1]",2.5243826,0.6243825912475587
congratulation,2.9,0.9434,"[3, 3, 3, 2, 4, 2, 4, 3, 4, 1]",2.2754383,0.6245616912841796
dumped,-1.7,0.78102,"[-2, -3, -2, -1, -1, -1, -3, -2, -1, -1]",-1.0750895,0.624910545349121
flawless,2.3,2.14709,"[4, 3, 4, 4, 1, 2, 4, 4, -2, -1]",1.6748133,0.6251867294311522
peculiarity,0.6,1.2,"[-1, 1, -1, 0, 2, -1, 1, 2, 2, 1]",-0.025362492,0.625362491607666
whoremasters,-1.5,1.85742,"[-3, -1, -1, -4, -2, 2, -1, 1, -2, -4]",-2.1254668,0.6254668235778809
sux,-1.5,0.92195,"[-1, -1, -2, -1, -2, -1, -3, 0, -3, -1]",-0.87444067,0.6255593299865723
comedies,1.7,1.00499,"[0, 2, 1, 3, 3, 3, 1, 1, 2, 1]",1.0743327,0.6256672859191894
kissable,2.0,0.89443,"[2, 2, 2, 2, 4, 2, 3, 1, 1, 1]",2.6257477,0.6257476806640625
flunks,-1.8,1.32665,"[0, -2, -3, -3, -2, -3, -2, -1, 1, -3]",-1.1741338,0.6258662223815918
murderee,-3.2,0.6,"[-3, -3, -2, -3, -4, -4, -3, -3, -4, -3]",-2.5739613,0.6260387420654299
bummer,-1.6,0.8,"[-3, -1, -1, -1, -3, -1, -1, -2, -2, -1]",-0.9739051,0.6260949134826661
snobbishly,-1.2,1.249,"[-2, 1, -2, -1, -2, -3, -1, -2, -1, 1]",-1.8262303,0.6262302875518799
agitato,-0.1,1.13578,"[1, 2, 0, 0, 0, 0, -2, 0, -2, 0]",-0.7263932,0.6263932228088379
libertarianisms,0.1,1.13578,"[0, 0, 0, 2, 2, 0, -2, 0, -1, 0]",-0.52642393,0.6264239311218261
smarts,1.6,0.66332,"[2, 1, 3, 1, 2, 1, 2, 1, 2, 1]",0.97353554,0.6264644622802735
stinker,-1.5,0.80623,"[-3, -1, -3, -1, -1, -2, -1, -1, -1, -1]",-0.8730011,0.6269989013671875
rebeldom,-1.5,1.0247,"[-2, -2, -1, -3, -2, -2, -1, 1, -1, -2]",-0.87289953,0.6271004676818848
unwelcome,-1.7,0.45826,"[-2, -2, -2, -1, -1, -2, -2, -1, -2, -2]",-1.072289,0.627711009979248
fidgety,-1.4,0.66332,"[-1, -2, -2, 0, -1, -1, -2, -1, -2, -2]",-0.77211,0.6278900146484374
optimizer,1.5,0.67082,"[1, 3, 1, 1, 2, 2, 1, 2, 1, 1]",0.8720145,0.6279854774475098
adorn,0.9,0.53852,"[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]",1.5280342,0.6280342102050781
prejudice,-2.3,0.78102,"[-2, -1, -2, -2, -3, -2, -2, -3, -4, -2]",-1.6718562,0.6281438350677488
passions,2.2,0.6,"[3, 3, 3, 2, 2, 1, 2, 2, 2, 2]",1.5717754,0.628224563598633
dearness,2.0,0.7746,"[1, 1, 2, 3, 2, 2, 2, 3, 1, 3]",1.371305,0.628695011138916
battlegrounds,-0.6,1.35647,"[2, -2, 0, -1, 0, -2, -2, -2, 0, 1]",0.028998375,0.6289983749389648
deny,-1.4,0.4899,"[-1, -1, -1, -1, -2, -1, -2, -2, -1, -2]",-0.77090025,0.6290997505187987
flu,-1.6,0.8,"[0, -2, -1, -2, -1, -2, -3, -1, -2, -2]",-0.97036076,0.6296392440795899
heavenliness,2.7,0.9,"[3, 2, 1, 4, 3, 2, 3, 4, 3, 2]",2.0702415,0.6297585487365724
foolishness,-1.8,0.6,"[-1, -1, -2, -2, -2, -1, -3, -2, -2, -2]",-1.1699309,0.6300690650939942
nerves,-0.4,0.8,"[0, -1, 0, 1, -2, -1, 0, -1, 0, 0]",-1.0302896,0.6302896499633789
toughs,-0.8,1.16619,"[0, 0, -1, 0, -1, -3, -2, 1, 0, -2]",-0.16965199,0.630348014831543
rejective,-1.8,0.6,"[-3, -2, -2, -2, -1, -1, -2, -2, -1, -2]",-1.1694021,0.6305978775024415
beautifulness,2.6,0.8,"[3, 3, 3, 2, 3, 4, 3, 2, 2, 1]",3.2306843,0.6306842803955077
tenders,0.6,0.8,"[0, 2, 0, 1, 1, 1, -1, 0, 1, 1]",-0.030769825,0.6307698249816894
crash,-1.7,1.18743,"[-2, -3, -2, -1, -2, 0, 0, -1, -4, -2]",-1.0686927,0.631307315826416
grave,-1.6,1.62481,"[-2, -2, 0, -2, -3, 2, -3, -1, -1, -4]",-0.968668,0.631332015991211
unintelligent,-2.0,1.18322,"[-1, -2, -3, -1, -1, -4, -1, -1, -4, -2]",-1.3685708,0.6314291954040527
riots,-2.3,0.78102,"[-2, -3, -3, -2, -1, -1, -3, -2, -3, -3]",-1.6680031,0.6319969177246092
smart,1.7,0.78102,"[2, 2, 1, 2, 1, 3, 2, 0, 2, 2]",1.067637,0.6323630332946777
amorphously,0.1,0.7,"[-1, 0, 0, 0, 0, 0, 2, 0, 0, 0]",-0.53240395,0.6324039459228515
despising,-2.7,0.9,"[-4, -3, -3, -4, -1, -2, -3, -2, -2, -3]",-2.0673153,0.6326846599578859
trustee,1.0,0.89443,"[2, 2, 0, 1, 1, 0, 2, 0, 2, 0]",0.36722708,0.6327729225158691
survived,2.3,0.78102,"[3, 4, 2, 2, 2, 1, 2, 3, 2, 2]",1.6670246,0.632975387573242
screaming,-1.6,0.8,"[0, -1, -1, -2, -3, -1, -2, -2, -2, -2]",-0.9669986,0.6330014228820802
suretyship,-0.1,1.51327,"[-1, 0, 0, -2, -1, 2, -2, 3, 0, 0]",0.53309965,0.6330996513366699
censored,-0.6,1.68523,"[-1, -1, -1, 2, -3, -2, -1, -1, -1, 3]",-1.2331867,0.6331867218017578
festivities,2.1,0.7,"[1, 2, 1, 2, 3, 2, 3, 3, 2, 2]",1.4665112,0.6334887504577638
disgraced,-2.0,0.44721,"[-3, -2, -2, -2, -1, -2, -2, -2, -2, -2]",-2.6335125,0.6335124969482422
charming,2.8,0.4,"[3, 3, 3, 3, 3, 3, 2, 3, 2, 3]",2.1664338,0.6335661888122557
contentedness,1.4,0.4899,"[1, 2, 1, 1, 2, 2, 2, 1, 1, 1]",2.033917,0.6339169502258302
dehumanized,-1.9,0.7,"[-2, -2, -2, -2, -1, -3, -2, -1, -3, -1]",-2.5339594,0.6339593887329102
freewill,1.0,0.7746,"[1, 1, 1, -1, 1, 1, 1, 2, 2, 1]",0.36585093,0.6341490745544434
inspiring,1.8,1.07703,"[2, 2, 2, -1, 2, 3, 2, 2, 1, 3]",2.4341803,0.6341802597045898
neurotic,-1.4,1.11355,"[-3, -2, -2, -1, 1, -2, -2, -1, 0, -2]",-2.0343122,0.6343122482299806
choking,-2.0,1.26491,"[-4, -2, -2, -3, -2, -2, -3, -1, 1, -2]",-2.634456,0.6344559192657471
persecuted,-1.3,1.61555,"[-2, -1, -2, -1, -2, 2, -4, 1, -2, -2]",-1.934546,0.6345459938049316
whoresons,-2.5,1.20416,"[-3, -3, -2, -2, 0, -4, -3, -1, -3, -4]",-1.8654118,0.6345882415771484
valuables,2.1,0.83066,"[4, 1, 2, 2, 3, 2, 1, 2, 2, 2]",1.4653487,0.634651279449463
flatters,0.6,2.10713,"[1, 1, 2, 2, 3, -1, -2, 2, -4, 2]",-0.034883022,0.6348830223083496
hesitated,-1.3,0.9,"[-1, -2, -1, -2, -2, -2, -1, 1, -1, -2]",-0.66499853,0.6350014686584473
traumatizations,-2.2,1.16619,"[-3, -2, -4, 0, -1, -2, -4, -2, -2, -2]",-1.5648227,0.6351773262023928
infuriated,-3.0,0.7746,"[-1, -4, -3, -3, -3, -3, -3, -3, -3, -4]",-2.3644586,0.6355414390563965
allow,0.9,0.83066,"[0, 0, 0, 1, 2, 2, 1, 1, 2, 0]",0.26434517,0.6356548309326172
grossulars,-0.3,0.45826,"[0, 0, 0, 0, -1, -1, 0, 0, 0, -1]",-0.9356904,0.6356904029846191
lively,1.9,0.7,"[2, 2, 3, 1, 1, 2, 3, 1, 2, 2]",1.2642498,0.6357501983642577
coziness,1.5,1.11803,"[2, 3, 1, 3, 1, 2, 2, -1, 1, 1]",0.8641281,0.6358718872070312
respectable,1.9,0.7,"[2, 2, 2, 2, 1, 3, 3, 1, 1, 2]",1.2638078,0.636192226409912
alarmism,-0.3,1.26886,"[-2, 0, -2, -1, 0, 1, 1, -1, 2, -1]",-0.9364209,0.6364209175109863
snobbier,-0.7,1.00499,"[-1, 2, -1, -1, -1, -1, -1, 0, -2, -1]",-1.3366609,0.6366608619689942
threatening,-2.4,0.8,"[-3, -3, -2, -3, -2, -1, -3, -1, -3, -3]",-3.0367782,0.636778211593628
creative,1.9,0.53852,"[2, 1, 2, 2, 2, 1, 3, 2, 2, 2]",1.2631593,0.6368407249450683
astonished,1.6,0.8,"[3, 1, 0, 2, 2, 1, 2, 2, 1, 2]",0.9629216,0.6370783805847169
burdened,-1.7,0.45826,"[-2, -2, -2, -2, -1, -2, -1, -2, -2, -1]",-1.0628037,0.6371962547302246
